region_name,date,spi
Ihorombe,2024-01-01,-0.22
Ihorombe,2024-02-01,0.3
Ihorombe,2024-03-01,0.66
Ihorombe,2024-04-01,0.52
Ihorombe,2024-05-01,0.29
Ihorombe,2024-06-01,-0.45
Ihorombe,2024-07-01,-0.87
Ihorombe,2024-08-01,-1.02
Ihorombe,2024-09-01,-0.74
Ihorombe,2024-10-01,-0.56
Ihorombe,2024-11-01,-0.53
Ihorombe,2024-12-01,-1.06
Atsimo-Andrefana,2024-01-01,-0.63
Atsimo-Andrefana,2024-02-01,-0.2
Atsimo-Andrefana,2024-03-01,0.45
Atsimo-Andrefana,2024-04-01,01.07
Atsimo-Andrefana,2024-05-01,1.41
Atsimo-Andrefana,2024-06-01,0.03
Atsimo-Andrefana,2024-07-01,-2.74
Atsimo-Andrefana,2024-08-01,-1.65
Atsimo-Andrefana,2024-09-01,-0.9
Atsimo-Andrefana,2024-10-01,-0.53
Atsimo-Andrefana,2024-11-01,-0.45
Atsimo-Andrefana,2024-12-01,-0.89
Atsimo-Atsinanana,2024-01-01,-0.14
Atsimo-Atsinanana,2024-02-01,0.19
Atsimo-Atsinanana,2024-03-01,0.53
Atsimo-Atsinanana,2024-04-01,0.18
Atsimo-Atsinanana,2024-05-01,0.1
Atsimo-Atsinanana,2024-06-01,-0.38
Atsimo-Atsinanana,2024-07-01,-0.42
Atsimo-Atsinanana,2024-08-01,-0.63
Atsimo-Atsinanana,2024-09-01,-0.77
Atsimo-Atsinanana,2024-10-01,-0.55
Atsimo-Atsinanana,2024-11-01,-1.11
Atsimo-Atsinanana,2024-12-01,-4.25
Anosy,2024-01-01,
Anosy,2024-02-01,0.64
Anosy,2024-03-01,1.43
Anosy,2024-04-01,1.39
Anosy,2024-05-01,1.3
Anosy,2024-06-01,0.94
Anosy,2024-07-01,01.09
Anosy,2024-08-01,1.29
Anosy,2024-09-01,01.02
Anosy,2024-10-01,0.97
Anosy,2024-11-01,-0.02
Anosy,2024-12-01,-2.51
Androy,2024-01-01,-0.25
Androy,2024-02-01,0.45
Androy,2024-03-01,1.38
Androy,2024-04-01,1.51
Androy,2024-05-01,1.52
Androy,2024-06-01,1.2
Androy,2024-07-01,1.25
Androy,2024-08-01,1.49
Androy,2024-09-01,1.2
Androy,2024-10-01,1.16
Androy,2024-11-01,0.1
Androy,2024-12-01,-2.21
